text,sentiment
Stuff deleted...,negative
"This morning a truck that had been within my sight (and I within
his) for about 3 miles suddenly forgot that I existed and pulled
over right on me -- my front wheel was about even with the back
edge o",positive
"So how do I steer when my hands aren't on the bars? (Open Budweiser in left 
hand, Camel cigarette in the right, no feet allowed.) If I lean, and the 
bike turns, am I countersteering? Is countersteer",positive
"
: From: OPDBS@vm.cc.latech.edu
: Subject: Taurus/Sable rotor recall

:        My '92 Taurus GL with only 26k on the clock also has rotor warp.
:    Apparently they HAVEN'T fixed the problem yet.  But",positive
"sorry about that last post, my server neglected to send the message:",negative
"
1 hr/drink for the first 4 drinks.
1.5 hours/drink for the next 6 drinks.
2 hours/drink for the rest.",negative
,negative
"From article <1993Apr5.200048.23421@ucsu.Colorado.EDU>, by lorenzo@rintintin.Colorado.EDU (Eric Lorenzo):

--Let me put it like this.  The only similarity between the three models
  is the ""300"", or 3",positive
"Hi Netters
	I want to know if 13500 (w/o tax) is a good deal for 1993 Mazda 626 DX
How is the performance review so far on Mazda 626. Is it a good buy?
Please reply to me as I don't read this group of",positive
,negative
"Don't have a list of what's been said before, so hopefully not repeating.

How about horizontally mounted oil filters (like on my Ford) that, no
matter how hard you try, will spill out their half quar",negative
"A local dealer is advertising ""No negotiation necessary!""
Make you wonder...
",negative
"Ummm...did you have any bikes other than that KX80? If not, I'd suggest you 
look for an '89 ZX-7, since they only have about 90 horsepower, whereas the
'90 has over 100 and might be a bit much for yo",negative
" (Neil Williams) writes...

# 
#As long as we're on the subject... Several years ago myself and two others
#were riding in the front of a Toyota pickup heading south on Interstate 5
#north of Seattle,",positive
"

*cough* *choke*  WHAT?!?  if a cop gave me a ticket for ""sounding"" like
i was speeding i'd probably show up in court without a lawyer simply
because ""sounding"" like speeding is ridiculous.  if i was",positive
"CBD>From: Christopher Bradley Devlin <cd1i+@andrew.cmu.edu>

CBD>>but it's nothing compared to the (ahem) unique helmet
CBD>>design seen in the new Animated Series: it has a huge opening for his
CBD>>",positive
"Actually I wasn't too surprised, since I bought it with the rust.  Any of you 
got some ideas of getting rid of this CHEAPLY (key word)??  It has eaten all 
the
way through on the door panels.  Can I ",positive
"There have been a *lot* of posts lately about ""I wanna buy my first bike - is a
GSXR/ZX/CBR/FZR a good bike to learn on?"" etc.

I think I'm going to put together a FAQ on buying a new bike. Ravi used ",negative
"I'm looking for a replacement radio/tape player for a 1984 
Toyota Tercel.  Standard off-the-shelf unit is fine, but 
every place I've gone to (Service Merchandise, etc.) doesn't 
have my car in its m",positive
"1975 H-1 500
     Brand new top end
     Chambers
     Clean + black!
     1,500$
     Paul: (510) 839-2161

Please do not contact this email address: contact the seller.

Cheers",negative
"HELP!!!
my wife has informed me that she wants a convertible for her next car.
We live in South Fla., so we are definitely in the right are for one.
My wife has mentioned the Miata, but I think it is ",positive
"Can anyone recommend a good place for reasonably priced bike paint jobs, preferably but not essentially in the London area. 

Thanks 

Lisa Rowlands",negative
"
you can say that again.
how does $23 for a new thermostat sound?",negative
": You know, it sounds suspiciously like no fault doesn't even do what it
: was advertised as doing---getting the lawyers out of the loop.

: Sigh.  Another naive illusion down the toilet....

Since mo",positive
"
recently-manufactured locomotives have wheel-slip detection systems
that use frequencies shared with police radar (i forget which band).
these will set off your radar detector if you get close enough",negative
"Hi, someone is selling his bmw R65 ( I think it's an '84 ) w/ 15k
miles for $2200. He says it's in great condition and perfect shape.
It's got the 2 hard saddle bags, too. 

Is this a good deal? Seems",positive
"
I generally find that after two or three decent hits of nitrous, my riding
improves enormously.  Drinking is silly, your breath smells, it costs lots
of money and the pigs can detect it with their ma",positive
"
Hey, what do we look like, a parts store?  Has it ever occurred to you to
visit your dealer and fork out the bucks for a new one?  What are the
chances of someone happening to have a '92 part laying ",positive
"Howdy,

I'm a little new to this newsgroup, but I would like to tap some of the
knowledge and expertise available here.

The Subject:  After-market cruise controls

The Background:
I recently broke my",positive
"addition,

Bricklins were manufactured in the 70s with engines from Ford. They are rather  
odd looking with the encased front bumper. There aren't a lot of them around,  
but Hemmings (Motor News) us",positive
